24-27	SE	# 	 No specified nature of entire work 
24-27	SE	a 	 Abstracts/summaries of other publications
24-27	SE	b 	 Bibliographies 
24-27	SE	c 	 Catalogs 
24-27	SE	d 	 Dictionaries  or glossaries
24-27	SE	e 	 Encyclopedias 
24-27	SE	f 	 Handbooks 
24-27	SE	g 	 Legal articles 
24-27	SE	h 	 Biography 
24-27	SE	i 	 Indexes of others material
24-27	SE	k 	 Discographies 
24-27	SE	l 	 Legislation 
24-27	SE	m 	 Theses 
24-27	SE	n 	 Surveys of literature in a subject area 
24-27	SE	o 	 Reviews 
24-27	SE	p 	 Programmed texts 
24-27	SE	q 	 Filmographies 
24-27	SE	r 	 Directories 
24-27	SE	s 	 Statistics 
24-27	SE	t 	 Technical reports 
24-27	SE	v 	 Legal cases and case notes 
24-27	SE	w 	 Law reports and digests 
24-27	SE	z 	 Treaties 
24-27	SE	 | 	 No attempt to code
