24-27	SE	# 	 Naturaleza del contenido no especificada 
24-27	SE	a 	 Resúmenes/sumarios El ítem consiste de resúmenes o sumarios de otras publicaciones
24-27	SE	b 	 Bibliografías 
24-27	SE	c 	 Catálogos
24-27	SE	d 	 Diccionarios Este código también se usa para un glosario o una nomenclatura geográfica
24-27	SE	e 	 Enciclopedias 
24-27	SE	f 	 Manuales 
24-27	SE	g 	 Artículos jurídicos 
24-27	SE	h 	 Biografías
24-27	SE	i 	 Indices El ítem consiste de un índice para material bibliográfico distinto al ítem en mismo
24-27	SE	k 	 Discografías 
24-27	SE	l 	 Legislación El ítem es o contiene textos completos o parciales de leyes de cuerpos legislativos o textos de reglas y regulaciones producidas por cuerpos ejecutivos o administrativos
24-27	SE	m 	 Tésis Indica que el ítem es una tesis, disertación u obra identificada como creada para satisfacer los requerimientos de una certificación o grado académico
24-27	SE	n 	 Estado de literatura El ítem es o contiene estudios que resumen qué ha sido publicado sobre un tema 
24-27	SE	o 	 Reseñas críticas El ítem es o contiene revisiones críticas de obras publicadas o representadas
24-27	SE	p 	 Textos programados 
24-27	SE	q 	 Filmografías
24-27	SE	r 	 Directorios
24-27	SE	s 	 Estadísticas
24-27	SE	t 	 Reportes técnicos 
24-27	SE	v 	 Casos legales y notas de casos 
24-27	SE	w 	 Reportes y compendios de leyes
24-27	SE	z 	 Tratados Indica que el ítem es un tratado o acuerdo negociado entre dos o más partes para arreglar un desacuerdo, establecer una relación, garantizar sus derechos, etc.
24-27	SE	| 	 No hay intención de codificar
